,MS_SubClass,MS_Zoning,Lot_Area,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
0,2,5,31770,15,0,112,3,1,5,1,1080,1,1,4,1656,1,4,7,2,2,0,0,2,1,210,62,9,4,50,215000,526301100
1,2,4,11622,15,1,0,3,1,5,3,882,4,1,4,896,1,4,5,0,3,0,3,1,2,140,0,9,4,49,105000,526350040
3,2,5,11160,15,5,0,2,1,5,3,2110,0,1,4,2110,2,0,8,2,5,0,0,2,2,0,0,9,4,42,244000,526353030
5,13,5,9978,8,0,20,3,2,5,3,926,0,1,4,1604,2,2,7,1,2,0,0,2,2,360,36,9,4,12,195500,527105030
6,3,5,4920,25,8,0,2,2,2,2,1338,0,1,4,1338,2,2,6,0,3,0,0,2,2,0,0,9,4,9,213500,527127150
8,3,5,5389,25,8,0,2,2,2,3,1595,0,1,4,1616,2,2,5,1,5,0,2,2,2,237,152,9,4,15,236500,527146030
9,13,5,7500,8,5,0,3,2,5,3,994,2,1,4,1804,2,2,7,1,5,0,0,2,2,140,60,9,4,11,189000,527162130
12,13,5,8402,8,0,0,3,2,2,3,789,2,1,4,1465,2,4,7,1,2,0,0,2,2,0,75,9,4,12,180400,527166040
15,13,5,53504,25,8,603,0,2,2,1,1650,0,1,4,2462,3,0,12,1,2,2,0,3,2,503,36,9,4,7,335000,527216070
16,5,5,12134,8,8,0,2,5,2,0,559,2,1,4,1752,2,4,8,0,3,1,2,2,2,325,12,9,4,22,164000,527225035
17,2,5,11394,25,3,350,2,2,0,0,1856,0,1,4,1856,1,0,8,1,0,0,0,3,2,113,0,6,5,0,335000,527258010
18,2,5,19138,8,2,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,2,2,0,0,9,4,59,141000,527276150
19,2,5,13175,19,0,119,3,1,2,3,1542,4,1,4,2073,2,4,7,2,5,0,3,2,2,349,0,9,4,32,210000,527302110
20,2,5,11751,19,0,480,3,1,2,3,1844,0,1,4,1844,2,4,7,1,5,0,2,2,2,0,122,0,4,33,190000,527358140
23,2,5,11241,15,0,180,3,1,5,3,1004,0,1,4,1004,1,4,5,1,5,0,0,2,2,0,0,9,4,40,149000,527402200
24,2,5,12537,15,1,0,3,1,5,3,1078,0,1,4,1078,1,4,6,1,1,0,0,2,2,0,0,9,4,39,149900,527402250
25,2,5,8450,15,1,0,3,1,5,3,1056,0,1,4,1056,1,4,6,1,1,0,3,1,2,0,85,9,4,42,142000,527403020
26,2,5,8400,15,2,0,3,1,5,3,882,4,1,4,882,1,4,4,0,3,0,0,2,2,240,0,9,4,40,126000,527404120
27,2,5,10500,15,2,0,3,1,5,3,864,4,1,4,864,1,4,5,1,4,6,1,0,2,0,0,4,4,39,115000,527425090
30,14,6,1680,2,1,492,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,4,39,105500,527451330
33,14,5,2280,16,0,0,3,1,5,3,855,4,1,4,1456,2,2,6,1,5,0,3,2,2,173,0,9,4,35,149900,527453130
34,3,5,2280,16,5,0,3,1,2,3,836,0,1,4,860,1,4,4,0,3,0,3,1,2,0,30,9,4,35,120000,527453150
35,14,5,2280,16,0,0,3,1,2,3,855,1,1,4,1456,2,4,7,1,5,0,3,2,2,26,0,9,4,32,146000,527454200
37,2,5,11478,18,8,200,2,2,0,3,1704,0,1,4,1704,2,2,7,1,2,0,2,3,2,0,50,9,4,3,306000,528112020
38,2,5,10159,18,3,450,0,2,0,0,1930,0,1,4,1940,2,0,8,1,2,0,0,3,2,168,95,6,5,1,335000,528120060
