,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
0,2,5,15,0,112,3,1,5,1,1080,1,1,4,1656,1,4,7,2,2,0,0,2,1,210,62,9,4,50,215000,526301100
2,2,5,15,0,108,3,1,5,3,1329,4,1,4,1329,1,2,6,0,3,0,3,1,2,393,36,9,4,52,172000,526351010
3,2,5,15,5,0,2,1,5,3,2110,0,1,4,2110,2,0,8,2,5,0,0,2,2,0,0,9,4,42,244000,526353030
5,13,5,8,0,20,3,2,5,3,926,0,1,4,1604,2,2,7,1,2,0,0,2,2,360,36,9,4,12,195500,527105030
6,3,5,25,8,0,2,2,2,2,1338,0,1,4,1338,2,2,6,0,3,0,0,2,2,0,0,9,4,9,213500,527127150
7,3,5,25,8,0,2,2,2,3,1280,0,1,4,1280,2,2,5,0,3,0,2,2,2,0,82,9,4,18,191500,527145080
8,3,5,25,8,0,2,2,2,3,1595,0,1,4,1616,2,2,5,1,5,0,2,2,2,237,152,9,4,15,236500,527146030
11,2,5,8,0,0,3,2,2,3,1168,0,1,4,1187,2,4,6,0,3,0,0,2,2,483,21,9,4,18,185000,527165230
12,13,5,8,0,0,3,2,2,3,789,2,1,4,1465,2,4,7,1,2,0,0,2,2,0,75,9,4,12,180400,527166040
13,2,5,8,5,0,3,2,2,1,1300,2,1,4,1341,1,2,5,1,4,0,3,2,2,192,0,9,4,20,171500,527180040
14,3,5,25,8,0,2,2,2,0,1488,4,1,4,1502,1,2,4,0,3,0,2,2,2,0,54,9,4,25,212000,527182190
15,13,5,25,8,603,0,2,2,1,1650,0,1,4,2486,3,0,12,1,2,2,0,3,2,503,36,9,4,7,339750,527216070
16,5,5,8,8,0,2,5,2,0,559,2,1,4,1752,2,4,8,0,3,1,2,2,2,325,12,9,4,22,164000,527225035
18,2,5,8,2,0,3,1,5,3,864,0,1,4,864,1,4,4,0,3,4,3,2,2,0,0,9,4,59,141000,527276150
22,13,2,23,5,0,2,2,2,3,814,0,1,4,1674,2,2,7,0,3,0,2,2,2,0,96,9,4,10,216000,527368020
23,2,5,15,0,180,3,1,5,3,1004,0,1,4,1004,1,4,5,1,5,0,0,2,2,0,0,9,4,40,149000,527402200
24,2,5,15,1,0,3,1,5,3,1078,0,1,4,1078,1,4,6,1,1,0,0,2,2,0,0,9,4,39,149900,527402250
25,2,5,15,1,0,3,1,5,3,1056,0,1,4,1056,1,4,6,1,1,0,3,1,2,0,85,9,4,42,142000,527403020
26,2,5,15,2,0,3,1,5,3,882,4,1,4,882,1,4,4,0,3,0,0,2,2,240,0,9,4,40,126000,527404120
27,2,5,15,2,0,3,1,5,3,864,4,1,4,864,1,4,5,1,4,6,1,0,2,0,0,4,4,39,115000,527425090
28,3,4,15,5,0,2,2,2,3,1405,0,1,4,1337,2,2,5,1,1,0,0,2,2,203,68,9,4,11,184000,527427230
29,14,6,2,0,504,3,1,5,3,483,4,1,4,987,1,4,5,0,3,4,3,1,2,275,0,0,4,39,96000,527451180
30,14,6,2,1,492,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,4,39,105500,527451330
31,14,6,2,0,381,3,1,5,3,525,4,1,4,1092,1,4,6,0,3,4,3,1,2,0,0,9,3,39,88000,527451410
32,3,5,16,0,0,3,1,2,3,1069,4,1,4,1069,2,4,4,1,1,0,2,2,2,0,55,9,4,33,127500,527452190
34,3,5,16,5,0,3,1,2,3,836,0,1,4,858,1,4,4,0,3,0,3,1,2,0,30,9,4,35,120000,527453150
35,14,5,16,0,0,3,1,2,3,855,1,1,4,1456,2,4,7,1,5,0,3,2,2,26,0,9,4,32,146000,527454200
36,13,5,18,3,162,0,2,0,3,1590,0,1,4,2334,2,0,10,1,2,0,0,3,2,144,133,6,5,1,339750,528108120
37,2,5,18,8,200,2,2,0,3,1704,0,1,4,1704,2,2,7,1,2,0,2,3,2,0,50,9,4,3,306000,528112020
38,2,5,18,3,450,0,2,0,0,1930,0,1,4,1940,2,0,8,1,2,0,0,3,2,168,95,6,5,1,339750,528120060
39,2,5,18,8,256,2,2,2,3,1544,0,1,4,1544,2,2,7,0,3,0,2,3,2,0,35,6,5,1,290941,528120090
40,2,5,18,5,226,2,2,2,2,1541,0,1,4,1541,2,2,7,1,2,0,2,2,2,0,70,6,5,5,220000,528120100
