,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Half_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Latitude,Age_of_Property,Sale_Price,PID
0,2,5,15,0,112,3,1,5,1,1080,1,1,4,1656,1,0,4,7,2,2,0,0,2,1,210,62,9,4,42.054035,50,215000,526301100
1,2,4,15,1,0,3,1,5,3,882,4,1,4,896,1,0,4,5,0,3,0,3,1,2,140,0,9,4,42.053014,49,105000,526350040
3,2,5,15,5,0,2,1,5,3,2110,0,1,4,2110,2,1,0,8,2,5,0,0,2,2,0,0,9,4,42.051245,42,244000,526353030
4,13,5,8,1,0,3,2,2,3,928,2,1,4,1629,2,1,4,6,1,5,0,0,2,2,212,34,9,4,42.060899,13,189900,527105010
5,13,5,8,0,20,3,2,5,3,926,0,1,4,1604,2,1,2,7,1,2,0,0,2,2,360,36,9,4,42.060779,12,195500,527105030
8,3,5,25,8,0,2,2,2,3,1595,0,1,4,1616,2,0,2,5,1,5,0,2,2,2,237,152,9,4,42.06112,15,236500,527146030
9,13,5,8,5,0,3,2,5,3,994,2,1,4,1804,2,1,2,7,1,5,0,0,2,2,140,60,9,4,42.059193,11,189000,527162130
10,13,5,8,0,0,3,2,2,3,763,2,1,4,1655,2,1,4,7,1,5,0,0,2,2,157,84,9,4,42.05848,17,175900,527163010
12,13,5,8,0,0,3,2,2,3,789,2,1,4,1465,2,1,4,7,1,2,0,0,2,2,0,75,9,4,42.058151,12,180400,527166040
13,2,5,8,5,0,3,2,2,1,1300,2,1,4,1341,1,1,2,5,1,4,0,3,2,2,192,0,9,4,42.057268,20,171500,527180040
14,3,5,25,8,0,2,2,2,0,1488,4,1,4,1502,1,1,2,4,0,3,0,2,2,2,0,54,9,4,42.059169,25,212000,527182190
16,5,5,8,8,0,2,5,2,0,559,2,1,4,1752,2,0,4,8,0,3,1,2,2,2,325,12,9,4,42.0603514,22,164000,527225035
17,2,5,25,3,350,2,2,0,0,1856,0,1,4,1856,1,1,0,8,1,0,0,0,3,2,113,0,6,5,42.05885,0,345474,527258010
20,2,5,19,0,480,3,1,2,3,1844,0,1,4,1844,2,0,4,7,1,5,0,2,2,2,0,122,0,4,42.050346,33,190000,527358140
21,9,5,19,5,81,3,1,2,1,1053,4,1,4,1173,2,0,2,6,2,5,0,2,2,2,0,120,9,3,42.05027,36,170000,527358200
23,2,5,15,0,180,3,1,5,3,1004,0,1,4,1004,1,0,4,5,1,5,0,0,2,2,0,0,9,4,42.055147,40,149000,527402200
24,2,5,15,1,0,3,1,5,3,1078,0,1,4,1078,1,1,4,6,1,1,0,0,2,2,0,0,9,4,42.054592,39,149900,527402250
25,2,5,15,1,0,3,1,5,3,1056,0,1,4,1056,1,0,4,6,1,1,0,3,1,2,0,85,9,4,42.055227,42,142000,527403020
26,2,5,15,2,0,3,1,5,3,882,4,1,4,882,1,0,4,4,0,3,0,0,2,2,240,0,9,4,42.053395,40,126000,527404120
