Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2012-03-02,20113.03,FALSE
1,1,2012-03-09,21140.07,FALSE
1,1,2012-03-16,22366.88,FALSE
1,1,2012-03-23,22107.7,FALSE
1,1,2012-03-30,28952.86,FALSE
1,1,2012-04-06,57592.12,FALSE
1,1,2012-04-13,34684.21,FALSE
1,1,2012-04-20,16976.19,FALSE
1,1,2012-04-27,16347.6,FALSE
1,2,2012-03-02,52608.51,FALSE
1,2,2012-03-09,48563.69,FALSE
1,2,2012-03-16,47346.32,FALSE
1,2,2012-03-23,44796.03,FALSE
1,2,2012-03-30,46529.68,FALSE
1,2,2012-04-06,51805.88,FALSE
1,2,2012-04-13,43991.18,FALSE
1,2,2012-04-20,45561.85,FALSE
1,2,2012-04-27,45456.23,FALSE
1,3,2012-03-02,11387.31,FALSE
1,3,2012-03-09,11925.71,FALSE
1,3,2012-03-16,8845.73,FALSE
1,3,2012-03-23,7910.22,FALSE
1,3,2012-03-30,9129.23,FALSE
1,3,2012-04-06,9335.24,FALSE
1,3,2012-04-13,7927.73,FALSE
1,3,2012-04-20,8647.36,FALSE
1,3,2012-04-27,8635.62,FALSE
1,4,2012-03-02,38459.98,FALSE
1,4,2012-03-09,38934.77,FALSE
1,4,2012-03-16,38125.32,FALSE
1,4,2012-03-23,36586.52,FALSE
1,4,2012-03-30,37718.51,FALSE
1,4,2012-04-06,42060.21,FALSE
1,4,2012-04-13,37449.26,FALSE
1,4,2012-04-20,36350.03,FALSE
1,4,2012-04-27,36894.54,FALSE
1,5,2012-03-02,30642.53,FALSE
1,5,2012-03-09,25492.21,FALSE
1,5,2012-03-16,29345.72,FALSE
1,5,2012-03-23,25442.13,FALSE
1,5,2012-03-30,22392.09,FALSE
1,5,2012-04-06,28386.81,FALSE
1,5,2012-04-13,18458.33,FALSE
1,5,2012-04-20,16645.01,FALSE
1,5,2012-04-27,17170.39,FALSE
1,6,2012-03-02,6464.52,FALSE
1,6,2012-03-09,4183.3,FALSE
1,6,2012-03-16,3905.72,FALSE
1,6,2012-03-23,2856.83,FALSE
1,6,2012-03-30,4540.27,FALSE
1,6,2012-04-06,4764.43,FALSE
1,6,2012-04-13,4500.12,FALSE
1,6,2012-04-20,2988.96,FALSE
1,6,2012-04-27,3319.32,FALSE
1,7,2012-03-02,16473.91,FALSE
1,7,2012-03-09,17500.24,FALSE
1,7,2012-03-16,20690.01,FALSE
1,7,2012-03-23,15628.59,FALSE
1,7,2012-03-30,18684,FALSE
1,7,2012-04-06,27171.41,FALSE
1,7,2012-04-13,21302.3,FALSE
1,7,2012-04-20,19056.92,FALSE
1,7,2012-04-27,18704.53,FALSE
1,8,2012-03-02,40307.19,FALSE
1,8,2012-03-09,36553.82,FALSE
1,8,2012-03-16,36141.27,FALSE
1,8,2012-03-23,33758.45,FALSE
1,8,2012-03-30,37745.71,FALSE
1,8,2012-04-06,41917.56,FALSE
1,8,2012-04-13,37295.29,FALSE
1,8,2012-04-20,36930.94,FALSE
1,8,2012-04-27,38531.76,FALSE
1,9,2012-03-02,30503.3,FALSE
1,9,2012-03-09,28291.68,FALSE
1,9,2012-03-16,37941.84,FALSE
1,9,2012-03-23,33541.36,FALSE
1,9,2012-03-30,50382.47,FALSE
1,9,2012-04-06,41235.34,FALSE
1,9,2012-04-13,33136.94,FALSE
1,9,2012-04-20,28111.87,FALSE
1,9,2012-04-27,30359.94,FALSE
1,10,2012-03-02,39036.14,FALSE
1,10,2012-03-09,34858.03,FALSE
1,10,2012-03-16,33405.1,FALSE
1,10,2012-03-23,33327.09,FALSE
1,10,2012-03-30,43718.05,FALSE
1,10,2012-04-06,36666.29,FALSE
1,10,2012-04-13,29709.53,FALSE
1,10,2012-04-20,30838.26,FALSE
1,10,2012-04-27,29433.27,FALSE
1,11,2012-03-02,23286.46,FALSE
1,11,2012-03-09,23169.16,FALSE
1,11,2012-03-16,24841.76,FALSE
1,11,2012-03-23,24350.67,FALSE
1,11,2012-03-30,25231.25,FALSE
1,11,2012-04-06,28971.93,FALSE
1,11,2012-04-13,21874.45,FALSE
1,11,2012-04-20,21787.83,FALSE
1,11,2012-04-27,20710.01,FALSE
1,12,2012-03-02,11994.48,FALSE
1,12,2012-03-09,11947.03,FALSE
1,12,2012-03-16,12178.8,FALSE
1,12,2012-03-23,11448.84,FALSE
1,12,2012-03-30,12109.21,FALSE
1,12,2012-04-06,10747.37,FALSE
1,12,2012-04-13,10565.39,FALSE
